Episode, Loss
0, -61.454830169677734
1, -61.454830169677734
2, -61.454830169677734
3, -61.454830169677734
4, -61.454830169677734
5, -61.454830169677734
6, -32.49864959716797
7, -32.49864959716797
8, -32.49864959716797
9, -32.49864959716797
10, -22.341585159301758
11, -16.64013671875
12, -13.218379020690918
13, -11.378623962402344
14, -8.761862754821777
15, -7.084646224975586
16, -5.93494987487793
17, -5.6927666664123535
18, -4.972379684448242
19, -4.940967082977295
20, -4.423088073730469
21, -4.5277419090271
22, -4.124520778656006
23, -3.782654285430908
24, -3.4910526275634766
25, -3.2339136600494385
26, -3.1048176288604736
27, -2.8951642513275146
28, -2.709989547729492
29, -2.5469706058502197
30, -2.399763822555542
31, -2.266852617263794
32, -2.666896104812622
33, -2.5323095321655273
34, -2.4074349403381348
35, -2.293090581893921
36, -2.1893038749694824
37, -2.7961809635162354
38, -2.6823642253875732
39, -2.5714521408081055
40, -2.4693636894226074
41, -2.3759286403656006
42, -2.2883896827697754
43, -2.2055046558380127
44, -2.1285531520843506
45, -2.466806650161743
46, -2.386913776397705
47, -2.311281204223633
48, -2.2393484115600586
49, -2.1705172061920166
50, -2.105863332748413
51, -2.0446925163269043
52, -1.9859598875045776
